verb,preposition,object,translation
abastecer,a,alguien,снабжать кого-либо
acostumbrarse,a,algo,привыкать к чему-либо
afirmarse,en,algo,утверждаться в чем-либо
apiadarse,de,alguien,сочувствовать кому-либо
apoyarse,en,algo,опираться на что-либо
arraigar,en,algo,укореняться в чем-либо
arremeter,contra,alguien,нападать на кого-либо
arremeter,con,algo,нападать с чем-либо
asistir,a,algo,посещать что-либо
asistir,a,alguien,помогать кому-либо
bastar,,,
carecer,de,algo,нуждаться в чем-либо
comprometerse,a,+infinitivo,брать обязательство сделать что-либо
comprometerse,con,alguien,договориться с кем-либо
conformarse,con,algo,довольствоваться чем-либо
consistir,en,+ infinitivo,состоять в чем-либо
constar,de,algo,состоять из чего-либо
convencer,a,alguien,убеждать кого-либо
convencer,de,algo,убеждать в чем-либо
cumplir,,,
depender,de,algo,зависеть от чего-либо
despedirse,de,alguien,прощаться с кем-либо
dirigirse,a,alguien,обращаться к кому-либо
empeñarse,en,infinitivo,упорствовать в чем-либо
encargarse,de,algo,браться за что-либо
enterarse,de,algo,осведомляться о чем-либо
esmerarse,en,algo,усердствовать в чем-либо
insistir,en,algo,настаивать на чем-либо
intervenir,en,algo,участвовать в чем-либо
negar,,algo,отрицать что-либо
negarse,a,+ infinitivo,отказываться от чего-либо
obligar,a,alguien,заставлять кого-либо
obligar,a,hacer algo,заставлять что-либо делать
obstinarse
ocuparse
oponerse,a,algo,противиться чему-либо
oponerse,a,alguien,противиться кому-либо
optar
permanecer,en,algún sitio,оставаться где-либо
presumir
recurrir,a,alguien,обращаться к кому-либо
recurrir,a,algo,прибегнуть к чему-либо
renunciar,a,algo,отказаться от чего-либо
soñar,,algo,видеть во сне что-либо
soñar,con,algo,мечтать о чем-либо
supeditar,a,algo,подчинять чему-либо
